timestep,total_population,resource_concentration,antibiotic_level,cooperation_index,competition_index,mutation_frequency,avg_fitness,genotype_diversity,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density,genotype_9_density,genotype_10_density,genotype_11_density,genotype_12_density,genotype_13_density,genotype_14_density,genotype_19_density,genotype_16_density,genotype_17_density,genotype_20_density,genotype_24_density,genotype_15_density,genotype_18_density,genotype_22_density,genotype_25_density,genotype_28_density
1,326,60,0.0,0.0,0.0,0.0,120.65138036809817,1,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2,356,60,0.0,0.0,0.0,0.5,115.0391889044944,2,0.9971910112359551,0.0028089887640449437,,,,,,,,,,,,,,,,,,,,,,,
3,381,60,0.0,0.0,0.0,0.5,110.93427688648296,2,0.9973753280839895,0.0026246719160104987,,,,,,,,,,,,,,,,,,,,,,,
4,413,60,0.0,0.0,0.0,0.5,106.50561790867133,2,0.9975786924939467,0.002421307506053269,,,,,,,,,,,,,,,,,,,,,,,
5,437,60,0.0,0.0,0.0,0.5,103.47435376498821,2,0.9977116704805492,0.002288329519450801,,,,,,,,,,,,,,,,,,,,,,,
6,463,60,0.0,0.0,0.0,0.5,100.5628933743485,2,0.9956803455723542,0.004319654427645789,,,,,,,,,,,,,,,,,,,,,,,
7,491,60,0.0,0.0,0.0,0.5,97.78624854208094,2,0.9959266802443992,0.004073319755600814,,,,,,,,,,,,,,,,,,,,,,,
8,521,60,0.0,0.0,0.0,0.5,95.15322129364864,2,0.9961612284069098,0.003838771593090211,,,,,,,,,,,,,,,,,,,,,,,
9,552,60,0.0,0.0,0.0,0.5,92.72738161688585,2,0.9963768115942029,0.0036231884057971015,,,,,,,,,,,,,,,,,,,,,,,
10,584,60,0.0,0.0,0.0,0.6666666666666666,90.48760801242874,3,0.9948630136986302,0.003424657534246575,0.0017123287671232876,,,,,,,,,,,,,,,,,,,,,,
11,612,60,0.0,0.0,0.0,0.75,88.64987387007702,4,0.9934640522875817,0.0032679738562091504,0.0016339869281045752,0.0016339869281045752,,,,,,,,,,,,,,,,,,,,,
12,639,60,0.0,0.001564945226917058,0.0,0.75,87.00022876295274,4,0.9937402190923318,0.003129890453834116,0.001564945226917058,0.001564945226917058,,,,,,,,,,,,,,,,,,,,,
13,664,60,0.0,0.0015060240963855422,0.0,0.75,85.54787063690422,4,0.9939759036144579,0.0030120481927710845,0.0015060240963855422,0.0015060240963855422,,,,,,,,,,,,,,,,,,,,,
14,700,60,0.0,0.0014285714285714286,0.0,0.8333333333333334,83.80369353008119,6,0.9914285714285714,0.002857142857142857,0.0014285714285714286,0.0014285714285714286,0.0014285714285714286,0.0014285714285714286,,,,,,,,,,,,,,,,,,,
15,732,60,0.0,0.00273224043715847,0.0,0.875,82.33561807569076,8,0.9877049180327869,0.00273224043715847,0.001366120218579235,0.001366120218579235,0.00273224043715847,0.001366120218579235,0.001366120218579235,0.001366120218579235,,,,,,,,,,,,,,,,,
16,760,60,0.0,0.005263157894736842,0.0,0.875,81.08776493422407,8,0.9868421052631579,0.002631578947368421,0.0013157894736842105,0.0013157894736842105,0.003947368421052632,0.0013157894736842105,0.0013157894736842105,0.0013157894736842105,,,,,,,,,,,,,,,,,
17,779,60,0.0,0.006418485237483954,0.0,0.875,80.15000666285013,8,0.9858793324775353,0.0025673940949935813,0.0025673940949935813,0.0012836970474967907,0.0038510911424903724,0.0012836970474967907,0.0012836970474967907,0.0012836970474967907,,,,,,,,,,,,,,,,,
18,802,60,0.0,0.006234413965087282,0.0,0.8888888888888888,79.15194640578778,9,0.983790523690773,0.0024937655860349127,0.0024937655860349127,0.0012468827930174563,0.003740648379052369,0.0012468827930174563,0.0024937655860349127,0.0012468827930174563,0.0012468827930174563,,,,,,,,,,,,,,,,
19,821,60,0.0,0.007308160779537149,0.0,0.9,78.29057148689178,10,0.9829476248477467,0.00243605359317905,0.00243605359317905,0.001218026796589525,0.0036540803897685747,0.001218026796589525,0.00243605359317905,0.001218026796589525,0.001218026796589525,0.001218026796589525,,,,,,,,,,,,,,,
20,845,60,0.0,0.008284023668639054,0.0,0.9,77.35606993676797,10,0.9834319526627219,0.002366863905325444,0.002366863905325444,0.001183431952662722,0.0035502958579881655,0.001183431952662722,0.002366863905325444,0.001183431952662722,0.001183431952662722,0.001183431952662722,,,,,,,,,,,,,,,
21,872,60,0.0,0.008027522935779817,0.0,0.9090909090909091,76.40649678909307,11,0.9827981651376146,0.0022935779816513763,0.0022935779816513763,0.0011467889908256881,0.0034403669724770644,0.0011467889908256881,0.0022935779816513763,0.0011467889908256881,0.0011467889908256881,0.0011467889908256881,,,,,,,,,,,,,,,
22,889,60,0.0,0.007874015748031496,0.0,0.9090909090909091,75.6752226019611,11,0.9820022497187851,0.0022497187851518562,0.0022497187851518562,0.0022497187851518562,0.003374578177727784,0.0011248593925759281,0.0022497187851518562,0.0011248593925759281,0.0011248593925759281,0.0011248593925759281,,,,,,,,,,,,,,,
23,919,60,0.0,0.008705114254624592,0.0,0.9090909090909091,74.75017138306355,11,0.9815016322089227,0.002176278563656148,0.002176278563656148,0.002176278563656148,0.003264417845484222,0.001088139281828074,0.002176278563656148,0.001088139281828074,0.001088139281828074,,0.002176278563656148,,,,,,,,,,,,,,
24,937,60,0.0,0.008537886872998933,0.0,0.9090909090909091,74.04884797880638,11,0.9818569903948773,0.0021344717182497333,0.0021344717182497333,0.0021344717182497333,0.0032017075773745998,0.0010672358591248667,0.0021344717182497333,0.0010672358591248667,0.0010672358591248667,,0.0021344717182497333,,,,,,,,,,,,,,
