timestep,total_population,resource_concentration,antibiotic_level,cooperation_index,competition_index,mutation_frequency,avg_fitness,genotype_diversity,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density
1,267,40,0.0,0.0,0.0,0.0,119.23230337078652,1,1.0,,,,,,,
2,286,40,0.0,0.0,0.0034965034965034965,0.5,114.76707473776226,2,0.9965034965034965,0.0034965034965034965,,,,,,
3,310,40,0.0,0.0,1.0,0.5,107.58878349580867,2,0.9967741935483871,0.0032258064516129032,,,,,,
4,331,40,0.0,0.0,1.0,0.6666666666666666,101.46607350305068,3,0.9939577039274925,0.0030211480362537764,0.0030211480362537764,,,,,
5,351,40,0.0,0.002849002849002849,1.0,0.75,95.73079766474419,4,0.9886039886039886,0.002849002849002849,0.005698005698005698,0.002849002849002849,,,,
6,369,40,0.0,0.008130081300813009,1.0,0.8333333333333334,90.42236933009855,6,0.983739837398374,0.0027100271002710027,0.005420054200542005,0.0027100271002710027,0.0027100271002710027,0.0027100271002710027,,
7,380,40,0.0,0.007894736842105263,1.0,0.8333333333333334,85.75093809904729,6,0.9842105263157894,0.002631578947368421,0.005263157894736842,0.002631578947368421,0.002631578947368421,0.002631578947368421,,
8,393,40,0.0,0.007633587786259542,1.0,0.8333333333333334,81.05971648718113,6,0.9821882951653944,0.002544529262086514,0.005089058524173028,0.002544529262086514,0.002544529262086514,0.005089058524173028,,
9,401,40,0.0,0.007481296758104738,1.0,0.875,76.66209151942469,8,0.9775561097256857,0.0024937655860349127,0.004987531172069825,0.0024937655860349127,0.0024937655860349127,0.004987531172069825,0.0024937655860349127,0.0024937655860349127
10,412,40,0.0,0.007281553398058253,1.0,0.875,72.20509915684393,8,0.9757281553398058,0.0024271844660194173,0.0048543689320388345,0.0024271844660194173,0.0048543689320388345,0.0048543689320388345,0.0024271844660194173,0.0024271844660194173
11,417,40,0.0,0.007194244604316547,1.0,0.875,67.84105416125269,8,0.9760191846522782,0.002398081534772182,0.004796163069544364,0.002398081534772182,0.004796163069544364,0.004796163069544364,0.002398081534772182,0.002398081534772182
12,423,40,0.0,0.0070921985815602835,1.0,0.875,63.53187201911303,8,0.9763593380614657,0.002364066193853428,0.004728132387706856,0.002364066193853428,0.004728132387706856,0.004728132387706856,0.002364066193853428,0.002364066193853428
13,427,40,0.0,0.00702576112412178,1.0,0.875,59.179209607488254,8,0.9765807962529274,0.00234192037470726,0.00468384074941452,0.00234192037470726,0.00468384074941452,0.00468384074941452,0.00234192037470726,0.00234192037470726
14,429,40,0.0,0.006993006993006993,1.0,0.875,54.85876751353874,8,0.9766899766899767,0.002331002331002331,0.004662004662004662,0.002331002331002331,0.004662004662004662,0.004662004662004662,0.002331002331002331,0.002331002331002331
15,431,40,0.0,0.0069605568445475635,1.0,0.875,50.58691487947011,8,0.9767981438515081,0.002320185614849188,0.004640371229698376,0.002320185614849188,0.004640371229698376,0.004640371229698376,0.002320185614849188,0.002320185614849188
16,430,40,0.0,0.0069767441860465115,1.0,0.875,46.53671323109402,8,0.9767441860465116,0.002325581395348837,0.004651162790697674,0.002325581395348837,0.004651162790697674,0.004651162790697674,0.002325581395348837,0.002325581395348837
17,425,40,0.0,0.007058823529411765,1.0,0.875,42.870208332722115,8,0.9764705882352941,0.002352941176470588,0.004705882352941176,0.002352941176470588,0.004705882352941176,0.004705882352941176,0.002352941176470588,0.002352941176470588
18,419,40,0.0,0.007159904534606206,1.0,0.875,39.455998662208785,8,0.9785202863961814,0.002386634844868735,0.002386634844868735,0.002386634844868735,0.00477326968973747,0.00477326968973747,0.002386634844868735,0.002386634844868735
19,410,40,0.0,0.007317073170731708,1.0,0.875,36.22485426873202,8,0.9804878048780488,0.0024390243902439024,0.0024390243902439024,0.0024390243902439024,0.004878048780487805,0.0024390243902439024,0.0024390243902439024,0.0024390243902439024
20,385,40,0.0,0.007792207792207792,1.0,0.875,34.56450550956829,8,0.9792207792207792,0.0025974025974025974,0.0025974025974025974,0.0025974025974025974,0.005194805194805195,0.0025974025974025974,0.0025974025974025974,0.0025974025974025974
21,366,40,0.0,0.00819672131147541,1.0,0.875,32.719183439960446,8,0.9808743169398907,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.00273224043715847
22,349,40,0.0,0.008595988538681949,1.0,0.875,30.897376982132695,8,0.9799426934097422,0.0028653295128939827,0.0028653295128939827,0.0028653295128939827,0.0028653295128939827,0.0028653295128939827,0.0028653295128939827,0.0028653295128939827
23,334,40,0.0,0.008982035928143712,1.0,0.875,29.05077956797774,8,0.9790419161676647,0.0029940119760479044,0.0029940119760479044,0.0029940119760479044,0.0029940119760479044,0.0029940119760479044,0.0029940119760479044,0.0029940119760479044
24,320,40,0.0,0.009375,1.0,0.875,27.288382549527775,8,0.978125,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125,0.003125
25,309,40,0.0,0.009708737864077669,1.0,0.875,25.35004808072745,8,0.9773462783171522,0.003236245954692557,0.003236245954692557,0.003236245954692557,0.003236245954692557,0.003236245954692557,0.003236245954692557,0.003236245954692557
26,291,40,0.0,0.010309278350515464,1.0,0.875,24.09418791671123,8,0.9759450171821306,0.003436426116838488,0.003436426116838488,0.003436426116838488,0.003436426116838488,0.003436426116838488,0.003436426116838488,0.003436426116838488
27,272,40,0.0,0.011029411764705883,1.0,0.875,23.125123792960455,8,0.9742647058823529,0.003676470588235294,0.003676470588235294,0.003676470588235294,0.003676470588235294,0.003676470588235294,0.003676470588235294,0.003676470588235294
28,258,40,0.0,0.011627906976744186,1.0,0.875,21.928075183549016,8,0.9728682170542635,0.003875968992248062,0.003875968992248062,0.003875968992248062,0.003875968992248062,0.003875968992248062,0.003875968992248062,0.003875968992248062
29,242,40,0.0,0.012396694214876033,1.0,0.875,21.00222649938971,8,0.9710743801652892,0.004132231404958678,0.004132231404958678,0.004132231404958678,0.004132231404958678,0.004132231404958678,0.004132231404958678,0.004132231404958678
30,228,40,0.0,0.013157894736842105,1.0,0.875,20.069568655053093,8,0.9692982456140351,0.0043859649122807015,0.0043859649122807015,0.0043859649122807015,0.0043859649122807015,0.0043859649122807015,0.0043859649122807015,0.0043859649122807015
31,218,40,0.0,0.013761467889908258,1.0,0.875,19.02372318404385,8,0.9678899082568807,0.0045871559633027525,0.0045871559633027525,0.0045871559633027525,0.0045871559633027525,0.0045871559633027525,0.0045871559633027525,0.0045871559633027525
32,206,40,0.0,0.014563106796116505,1.0,0.875,18.224352536551393,8,0.9660194174757282,0.0048543689320388345,0.0048543689320388345,0.0048543689320388345,0.0048543689320388345,0.0048543689320388345,0.0048543689320388345,0.0048543689320388345
