timestep,total_population,resource_concentration,antibiotic_level,cooperation_index,competition_index,mutation_frequency,avg_fitness,genotype_diversity,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density,genotype_9_density,genotype_10_density,genotype_11_density,genotype_13_density,genotype_14_density,genotype_16_density,genotype_15_density,genotype_12_density
1,328,100,0.0,0.0,0.0,0.0,126.34679878048783,1,1.0,,,,,,,,,,,,,,,,
2,365,100,0.0,0.0,0.0,0.0,119.20631575342468,1,1.0,,,,,,,,,,,,,,,,
3,389,100,0.0,0.0,0.0,0.0,115.13813939267354,1,1.0,,,,,,,,,,,,,,,,
4,421,100,0.0,0.0,0.0,0.0,110.5367863245398,1,1.0,,,,,,,,,,,,,,,,
5,449,100,0.0,0.0,0.0,0.0,106.9766539140715,1,1.0,,,,,,,,,,,,,,,,
6,480,100,0.0,0.0,0.0,0.0,103.53724899871047,1,1.0,,,,,,,,,,,,,,,,
7,507,100,0.0,0.0,0.0,0.5,100.81465507255251,2,0.9980276134122288,0.0019723865877712033,,,,,,,,,,,,,,,
8,532,100,0.0,0.0,0.0,0.5,98.494318216283,2,0.9981203007518797,0.0018796992481203006,,,,,,,,,,,,,,,
9,569,100,0.0,0.0,0.0,0.5,95.59298496639518,2,0.9982425307557118,0.0017574692442882249,,,,,,,,,,,,,,,
10,605,100,0.0,0.0,0.0,0.5,93.07850009190534,2,0.9983471074380166,0.001652892561983471,,,,,,,,,,,,,,,
11,636,100,0.0,0.0,0.0,0.5,91.07059060193967,2,0.9984276729559748,0.0015723270440251573,,,,,,,,,,,,,,,
12,665,100,0.0,0.0,0.0,0.5,89.32146351334993,2,0.9984962406015038,0.0015037593984962407,,,,,,,,,,,,,,,
13,689,100,0.0,0.0,0.0,0.5,87.90693304122185,2,0.9985486211901307,0.001451378809869376,,,,,,,,,,,,,,,
14,722,100,0.0,0.0,0.0,0.5,86.24106325003365,2,0.9986149584487535,0.0013850415512465374,,,,,,,,,,,,,,,
15,757,100,0.0,0.0,0.0,0.5,84.63916114636467,2,0.9986789960369881,0.001321003963011889,,,,,,,,,,,,,,,
