timestep,total_population,resource_concentration,antibiotic_level,cooperation_index,competition_index,mutation_frequency,avg_fitness,genotype_diversity,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density,genotype_9_density,genotype_11_density,genotype_10_density,genotype_12_density,genotype_13_density,genotype_14_density
1,221,30,0.0,0.0,0.0,0.0,118.13936651583708,1,1.0,,,,,,,,,,,,,,
2,234,30,0.0,0.0,0.0,0.5,114.3684465811966,2,0.9957264957264957,0.004273504273504274,,,,,,,,,,,,,
3,253,30,0.0,0.0,0.0,0.5,109.75986174932937,2,0.9920948616600791,0.007905138339920948,,,,,,,,,,,,,
4,267,30,0.0,0.0,0.0,0.5,106.6322947401665,2,0.9925093632958801,0.00749063670411985,,,,,,,,,,,,,
5,284,30,0.0,0.0,0.0,0.5,103.33310173679415,2,0.9929577464788732,0.007042253521126761,,,,,,,,,,,,,
6,304,30,0.0,0.0,0.0,0.5,99.98490206686692,2,0.993421052631579,0.006578947368421052,,,,,,,,,,,,,
7,324,30,0.0,0.0,0.0,0.6666666666666666,97.02773795074184,3,0.9907407407407407,0.006172839506172839,0.0030864197530864196,,,,,,,,,,,,
8,345,30,0.0,0.002898550724637681,0.0,0.6666666666666666,94.2929287953484,3,0.991304347826087,0.005797101449275362,0.002898550724637681,,,,,,,,,,,,
9,362,30,0.0,0.0027624309392265192,0.0,0.6666666666666666,92.2065612896901,3,0.9917127071823204,0.0055248618784530384,0.0027624309392265192,,,,,,,,,,,,
10,386,30,0.0,0.0025906735751295338,0.0,0.6666666666666666,89.73694506109777,3,0.9922279792746114,0.0051813471502590676,0.0025906735751295338,,,,,,,,,,,,
11,405,30,0.0,0.0024691358024691358,0.0,0.6666666666666666,87.87891640304522,3,0.9925925925925926,0.0049382716049382715,0.0024691358024691358,,,,,,,,,,,,
12,416,30,0.0,0.002403846153846154,0.0,0.6666666666666666,86.68079163395781,3,0.9927884615384616,0.004807692307692308,0.002403846153846154,,,,,,,,,,,,
13,432,30,0.0,0.0023148148148148147,0.0,0.6666666666666666,85.23731990845748,3,0.9930555555555556,0.004629629629629629,0.0023148148148148147,,,,,,,,,,,,
14,444,30,0.0,0.0022522522522522522,0.0,0.6666666666666666,84.10276379223927,3,0.9932432432432432,0.0045045045045045045,0.0022522522522522522,,,,,,,,,,,,
15,458,30,0.0,0.002183406113537118,0.0,0.6666666666666666,82.91777936454751,3,0.9912663755458515,0.004366812227074236,0.004366812227074236,,,,,,,,,,,,
16,473,30,0.0,0.004228329809725159,0.0,0.75,81.74669267453548,4,0.9894291754756871,0.004228329809725159,0.004228329809725159,0.0021141649048625794,,,,,,,,,,,
17,483,30,0.0,0.004140786749482402,0.0,0.75,80.85421755646767,4,0.989648033126294,0.004140786749482402,0.004140786749482402,0.002070393374741201,,,,,,,,,,,
18,501,30,0.0,0.003992015968063872,0.0,0.75,79.66798765605633,4,0.9900199600798403,0.003992015968063872,0.003992015968063872,0.001996007984031936,,,,,,,,,,,
19,513,30,0.0,0.003898635477582846,0.0,0.75,78.77278885973163,4,0.9902534113060428,0.003898635477582846,0.003898635477582846,0.001949317738791423,,,,,,,,,,,
20,524,30,0.0,0.003816793893129771,0.0,0.75,77.9462633174952,4,0.9904580152671756,0.003816793893129771,0.003816793893129771,0.0019083969465648854,,,,,,,,,,,
21,535,30,0.0,0.003738317757009346,0.0,0.75,77.14762998917051,4,0.9906542056074766,0.003738317757009346,0.003738317757009346,0.001869158878504673,,,,,,,,,,,
22,552,30,0.0,0.0036231884057971015,0.0,0.75,76.19398039352157,4,0.9909420289855072,0.0036231884057971015,0.0036231884057971015,0.0018115942028985507,,,,,,,,,,,
23,569,30,0.0,0.0035149384885764497,0.0,0.75,75.28744415997801,4,0.9912126537785588,0.0035149384885764497,0.0035149384885764497,0.0017574692442882249,,,,,,,,,,,
24,582,30,0.0,0.003436426116838488,0.0,0.75,74.52516452419682,4,0.9914089347079038,0.003436426116838488,0.003436426116838488,0.001718213058419244,,,,,,,,,,,
25,595,30,0.0,0.0033613445378151263,0.0,0.75,73.78952453216638,4,0.9899159663865547,0.0033613445378151263,0.005042016806722689,0.0016806722689075631,,,,,,,,,,,
26,608,30,0.0,0.004934210526315789,0.0,0.75,73.07883644746944,4,0.9901315789473685,0.003289473684210526,0.004934210526315789,0.001644736842105263,,,,,,,,,,,
27,619,30,0.0,0.004846526655896607,0.0016155088852988692,0.8,72.43258310364925,5,0.9870759289176091,0.0032310177705977385,0.004846526655896607,0.0032310177705977385,0.0016155088852988692,,,,,,,,,,
28,634,30,0.0,0.00473186119873817,0.0031545741324921135,0.8571428571428571,71.71777035111113,7,0.9842271293375394,0.0031545741324921135,0.00473186119873817,0.0031545741324921135,0.0015772870662460567,0.0015772870662460567,0.0015772870662460567,,,,,,,,
29,645,30,0.0,0.004651162790697674,0.0031007751937984496,0.8571428571428571,71.0931430624804,7,0.9844961240310077,0.0031007751937984496,0.004651162790697674,0.0031007751937984496,0.0015503875968992248,0.0015503875968992248,0.0015503875968992248,,,,,,,,
30,660,30,0.0,0.004545454545454545,0.0030303030303030303,0.875,70.4208770472009,8,0.9833333333333333,0.0030303030303030303,0.004545454545454545,0.0030303030303030303,0.0015151515151515152,0.0015151515151515152,0.0015151515151515152,0.0015151515151515152,,,,,,,
31,673,30,0.0,0.005943536404160475,0.0029717682020802376,0.875,69.79335399967773,8,0.9836552748885586,0.0029717682020802376,0.004457652303120356,0.0029717682020802376,0.0014858841010401188,0.0014858841010401188,0.0014858841010401188,0.0014858841010401188,,,,,,,
32,688,30,0.0,0.005813953488372093,0.0029069767441860465,0.875,69.15056964787887,8,0.9840116279069767,0.0029069767441860465,0.00436046511627907,0.0029069767441860465,0.0014534883720930232,0.0014534883720930232,0.0014534883720930232,0.0014534883720930232,,,,,,,
33,703,30,0.0,0.005689900426742532,0.004267425320056899,0.875,68.52609339379697,8,0.9829302987197724,0.002844950213371266,0.004267425320056899,0.002844950213371266,0.002844950213371266,0.001422475106685633,0.001422475106685633,0.001422475106685633,,,,,,,
34,714,30,0.0,0.0056022408963585435,0.004201680672268907,0.875,67.94594236056322,8,0.9831932773109243,0.0028011204481792717,0.004201680672268907,0.0028011204481792717,0.0028011204481792717,0.0014005602240896359,0.0014005602240896359,0.0014005602240896359,,,,,,,
